Date,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
1/1/2015,2701.89,2701.89,2701.89,2701.89,2701.89,2701.89,2701.89,3917.02,3917.02,,2670.94,2670.94,2670.94,2790.08
2/1/2015,2836.47,2836.47,2836.47,2836.47,2838.57,2838.57,2838.57,3848.95,3848.95,,2347.21,2347.21,2347.21,2610.51
3/1/2015,2473.61,2473.61,2473.61,2473.61,2473.61,2473.61,2473.61,3008.26,3008.26,,2235.18,2235.18,2235.18,2353.81
4/1/2015,2402.64,2402.64,2402.64,2402.64,2434.96,2434.96,2434.96,2544.6,2861.68,,2193.28,2193.28,2193.28,2249.08
5/1/2015,2735.94,2735.94,2735.94,2735.94,2735.94,2735.94,2735.94,3782.07,3840.9,,2158.2,2158.2,2158.2,2465.68
6/1/2015,2596.45,2596.45,2596.45,2596.45,2619.94,2619.94,2619.94,3915.62,3915.62,,2152.15,2152.15,2152.15,2453.67
7/1/2015,2911.84,2911.84,2911.84,2911.84,2911.84,2911.84,2911.84,4174.39,4174.39,,2887.45,2887.45,2887.45,3073.87
8/1/2015,2913.21,2913.21,2913.21,2913.21,2913.21,2913.21,2913.21,3924.78,3924.78,,2846.96,2846.96,2846.96,2999.97
9/1/2015,3213.14,3213.14,3213.14,3213.14,3213.14,3213.14,3213.14,3910.84,4101.93,,2687.65,2687.65,2687.65,2990.46
10/1/2015,2991.66,2991.66,2991.66,2991.66,2991.66,2991.66,2991.66,4044.52,4211.66,,2670.98,2670.98,2670.98,3009.8
11/1/2015,2578.75,2578.75,2578.75,2578.75,2578.75,2578.75,2578.75,4397.67,4535.74,,2431.47,2431.47,2431.47,2666.48
12/1/2015,2943.93,2943.93,2943.93,2943.93,2946.03,2946.03,2946.03,3910.12,4697.62,,2821.3,2821.3,2821.3,3022.35
 13/1/2015,3189.34,3189.34,3189.34,3189.34,3189.34,3189.34,3189.34,3836.09,4413.42,,3179.21,3179.21,3179.21,3338.24
14/1/2015,2745.87,2745.87,2745.87,2745.87,2745.87,2745.87,2745.87,3848.48,4310.78,,2684.16,2684.16,2684.16,2776.05
15/1/2015,2792.48,2792.48,2792.48,2792.48,2792.48,2792.48,2792.48,3590.75,3894.43,,2792.48,2792.48,2792.48,2906.76
