Date,MCP
1/1/2015,2790.08
2/1/2015,2610.51
3/1/2015,2353.81
4/1/2015,2249.08
5/1/2015,2465.68
6/1/2015,2453.67
7/1/2015,3073.87
8/1/2015,2999.97
9/1/2015,2990.46
10/1/2015,3009.8
11/1/2015,2666.48
12/1/2015,3022.35
 13/1/2015,3338.24
14/1/2015,2776.05
15/1/2015,2906.76
16/1/2015,2927.34
17/1/2015,3189.16
18/1/2015,3000.65
19/1/2015,3025.47
20/1/2015,3040.18
21/1/2015,3189.81
22/1/2015,3104.01
23/1/2015,2876.48
24/1/2015,3010.35
25/1/2015,2528.13
26/1/2015,2152.77
27/1/2015,2745.72
28/1/2015,2828.85
29/1/2015,2733.99
30/1/2015,2714.38
31/1/2015,2770.24
1/2/2015,2525.09
2/2/2015,2747.87
3/2/2015,3126.42
4/2/2015,3058.36
5/2/2015,3064.62
6/2/2015,3055.08
7/2/2015,3144.16
8/2/2015,2683.36
9/2/2015,3110.58
10/2/2015,2888.4
11/2/2015,2702.1
12/2/2015,2529.09
13/2/2015,2630.99
14/2/2015,2491.62
15/2/2015,2700.77
16/2/2015,2831.12
17/2/2015,3481.73
18/2/2015,3256.14
19/2/2015,3420.52
20/2/2015,3105.81
21/2/2015,2932.4
22/2/2015,2424.1
23/2/2015,2579.03
24/2/2015,2651.95
25/2/2015,2889.35
26/2/2015,2690.92
27/2/2015,2563.69
28/2/2015,2504.86
1/3/2015,2604.13
2/3/2015,2506.9
3/3/2015,2077.12
4/3/2015,2518.94
5/3/2015,2178.95
6/3/2015,1294.94
7/3/2015,1923.96
8/3/2015,2390.18
9/3/2015,2725.58
10/3/2015,2882.72
11/3/2015,2781.08
12/3/2015,2823.6
13/3/2015,2774.77
14/3/2015,2714.33
15/3/2015,2342.42
16/3/2015,2506.45
17/3/2015,2557.69
18/3/2015,2463.92
19/3/2015,3143.45
20/3/2015,3539.29
21/3/2015,3193.66
22/3/2015,3007.46
23/3/2015,3464.82
24/3/2015,3317.45
25/3/2015,3951.35
26/3/2015,3803.46
27/3/2015,3478.72
28/3/2015,3599.51
29/3/2015,2696.47
30/3/2015,3052.36
31/3/2015,3004.82
1/4/2015,2871.91
2/4/2015,2512.91
3/4/2015,2499.96
4/4/2015,2773.95
5/4/2015,2786.38
6/4/2015,3332.66
7/4/2015,3340.65
8/4/2015,3032.99
9/4/2015,3302.02
10/4/2015,3240.73
11/4/2015,2934.7
12/4/2015,2704.08
13/4/2015,2478.7
14/4/2015,2096.12
15/4/2015,2239.84
16/4/2015,2603.61
17/4/2015,2606.78
18/4/2015,2727.78
19/4/2015,2370.17
20/4/2015,2573.29
21/4/2015,2762.03
22/4/2015,2978.49
23/4/2015,2779.23
24/4/2015,2537.96
25/4/2015,2361.8
26/4/2015,2046.38
27/4/2015,2363.22
28/4/2015,2467.69
29/4/2015,2449.67
30/4/2015,2691.09
1/5/2015,2282.02
2/5/2015,2499.33
3/5/2015,2214.75
4/5/2015,2712.43
5/5/2015,2667.5
6/5/2015,2742.13
7/5/2015,2852.8
8/5/2015,2876.1
9/5/2015,2576.75
10/5/2015,2332.97
11/5/2015,3072.25
12/5/2015,2775.92
13/5/2015,2698.98
14/5/2015,3036.97
15/5/2015,2618.44
16/5/2015,2791.43
17/5/2015,1884.87
18/5/2015,2215.18
19/5/2015,2588.11
20/5/2015,2598.66
21/5/2015,2568.74
22/5/2015,2595.45
23/5/2015,2465.8
24/5/2015,2090.05
25/5/2015,2345.43
26/5/2015,2545.48
27/5/2015,2661.58
28/5/2015,3374.89
29/5/2015,3299.54
30/5/2015,2828.66
31/5/2015,2330.75
1/6/2015,2615.11
2/6/2015,2208.13
3/6/2015,2291.14
4/6/2015,2604.89
5/6/2015,2640.83
6/6/2015,2938.17
7/6/2015,2546.86
8/6/2015,2982.25
9/6/2015,2905.79
10/6/2015,2821.95
11/6/2015,3049.98
12/6/2015,3091.67
13/6/2015,2765.34
14/6/2015,2301.35
15/6/2015,2367.09
